Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
VIAV,"Viavi Solutions Inc.",55.60,stage2,10,91,468.7,49.07,32.19,27.66,60.43,9.14,-8.0,,"Textbook Stage 2 (10/10)",""
TWLO,"Twilio Inc.",207.31,stage2,10,71,75.2,179.35,143.78,136.05,238.48,91.84,-13.1,,"Textbook Stage 2 (10/10)",""
INSW,"International Seaways, Inc.",81.86,stage2,9,63,104.2,81.5,67.15,62.49,92.66,36.03,-11.7,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (63)",""
CVEO,"Civeo Corporation (Canada)",34.49,stage2,9,50,55.3,32.33,27.73,26.29,36.50,19.75,-5.5,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (50)",""
NGS,"Natural Gas Services Group, Inc",42.30,stage2,9,46,57.3,40.27,36.91,34.57,44.12,22.72,-4.1,,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (46)",""
KALU,"Kaiser Aluminum Corporation",186.87,stage2,10,81,155.0,171.73,136.78,123.5,194.43,71.44,-3.9,,"Textbook Stage 2 (10/10)",""
JBL,"Jabil Inc.",389.98,stage2,10,71,86.6,346.73,276.73,260.26,398.89,177.18,-2.2,,"Textbook Stage 2 (10/10)",""
DGII,"Digi International Inc.",69.42,stage2,9,62,108.6,61.84,50.91,47.42,70.79,30.69,-1.9,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (62)",""
NTRS,"Northern Trust Corporation",173.83,stage2,9,49,55.9,164.22,148.52,143.59,176.08,108.43,-1.3,NEAR HIGH,"Textbook Stage 2 (9/10) | Missing: RS Rating ≥ 70 (49)",""
CRWD,"CrowdStrike Holdings, Inc.",685.90,stage2,8,56,43.4,557.69,482.07,487.45,785.66,342.72,-12.7,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, RS Rating ≥ 70 (56)",""
NTAP,"NetApp, Inc.",161.53,stage2,8,63,57.4,130.15,113.3,114.41,192.83,93.69,-16.2,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, RS Rating ≥ 70 (63)",""
