Ticker,Company,Price,Stage,Score,RS,12m%,50MA,150MA,200MA,52W High,52W Low,% from High,New 52W High,Notes,AI Notes
4072.SR,"مجموعة إم بي سي",24.56,stage4,0,5,-33.5,25.85,28.59,29.87,44.40,24.56,-44.7,,"Weak / declining (0/10)",""
4210.SR,"الأبحاث والإعلام",76.95,stage4,0,4,-50.5,78.54,105.08,122.9,202.10,74.00,-61.9,,"Weak / declining (0/10)",""
4003.SR,"إكسترا",76.65,stage4,1,37,-12.2,80.09,84.01,85.14,93.50,76.65,-18.0,,"Weak / declining (1/10)",""
4008.SR,"ساكو",22.94,stage4,0,32,-13.1,24.31,25.34,26.4,33.34,22.30,-31.2,,"Weak / declining (0/10)",""
4050.SR,"ساسكو",49.50,stage4,0,33,-13.2,49.79,53.08,55.33,73.45,42.32,-32.6,,"Weak / declining (0/10)",""
4051.SR,"باعظيم",5.70,stage1,3,68,9.4,5.67,5.93,6.02,7.10,5.18,-19.7,,"Weak / declining (3/10)",""
4190.SR,"جرير",16.07,stage2,10,88,33.3,15.1,13.99,13.9,16.15,12.06,-0.5,NEAR HIGH,"Textbook Stage 2 (10/10)",""
4191.SR,"أبو معطي",40.76,stage4,3,82,18.1,42.43,43.63,44,53.95,32.95,-24.4,,"Weak / declining (3/10)",""
4192.SR,"السيف غاليري",6.97,potential,6,64,-1.8,6.87,6.55,6.61,7.31,6.16,-4.7,,"Near Stage 2 (6/10) | Missing: 150MA > 200MA, 200MA trending up, 25%+ above 52W low, RS Rating ≥ 70 (64)",""
4193.SR,"نايس ون",14.26,stage1,1,4,-51.8,13.61,15.77,17.78,35.28,11.72,-59.6,,"Weak / declining (1/10)",""
4194.SR,"محطة البناء",41.08,stage4,0,0,0.0,43.2,50.29,55.45,93.00,41.02,-55.8,,"Weak / declining (0/10)",""
4240.SR,"سينومي ريتيل",12.78,stage4,0,15,-33.0,14.93,16.96,19.03,35.38,12.59,-63.9,,"Weak / declining (0/10)",""
4001.SR,"أسواق ع العثيم",5.92,stage4,0,21,-21.3,6.04,6.26,6.57,8.15,5.90,-27.4,,"Weak / declining (0/10)",""
4006.SR,"أسواق المزرعة",13.09,stage4,0,26,-23.4,13.15,13.64,14.41,18.60,12.53,-29.6,,"Weak / declining (0/10)",""
4061.SR,"أنعام القابضة",11.20,stage1,1,38,-21.7,10.86,11.39,12.42,17.52,9.44,-36.1,,"Weak / declining (1/10)",""
4160.SR,"ثمار",33.50,stage1,1,41,-2.5,33.47,35.59,37.61,50.85,30.78,-34.1,,"Weak / declining (1/10)",""
4161.SR,"بن داود",4.90,stage1,3,48,-12.2,5.03,4.84,5.02,6.69,4.35,-26.8,,"Weak / declining (3/10)",""
4162.SR,"المنجم",64.10,potential,8,82,-1.8,58.26,54.24,55.12,79.50,48.86,-19.4,,"Strong Stage 2 (8/10) | Missing: 150MA > 200MA, 200MA trending up",""
4163.SR,"الدواء",47.42,stage4,0,8,-35.8,48.97,50.97,54.56,80.05,46.80,-40.8,,"Weak / declining (0/10)",""
4164.SR,"النهدي",97.10,stage4,1,32,-21.6,102,100.52,104.54,132.10,92.90,-26.5,,"Weak / declining (1/10)",""
2050.SR,"مجموعة صافولا",28.70,stage2,10,81,12.1,26.93,24.69,24.67,29.20,21.53,-1.7,NEAR HIGH,"Textbook Stage 2 (10/10)",""
2100.SR,"وفرة",20.09,stage4,0,23,-23.2,20.83,21.04,22.46,30.70,18.03,-34.6,,"Weak / declining (0/10)",""
